study_word,test,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,text.started,slider.started,slider.response,slider.rt,text_2.started,textbox.started,text_3.started,mouse.started,textbox.text,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,participant,session,date,expName,psychopyVersion,frameRate,
tiger,,0,0,0,1,,,,,26.151378500042483,26.151378500042483,1.011111111111111,2.028609300032258,,,,,,,,,,,,,Muskan 2,001,2023-10-04_19h21.29.369,experiment 5 word priming,2023.1.3,59.61269634684064,
phone,,0,1,1,13,,,,,28.186048600124195,28.186048600124195,1.011111111111111,0.7460741000249982,,,,,,,,,,,,,Muskan 2,001,2023-10-04_19h21.29.369,experiment 5 word priming,2023.1.3,59.61269634684064,
t shirt,,0,2,2,8,,,,,28.986105100018904,28.986105100018904,1.011111111111111,0.6199467999394983,,,,,,,,,,,,,Muskan 2,001,2023-10-04_19h21.29.369,experiment 5 word priming,2023.1.3,59.61269634684064,
cake,,0,3,3,9,,,,,29.63584340014495,29.63584340014495,1.011111111111111,0.6376382000744343,,,,,,,,,,,,,Muskan 2,001,2023-10-04_19h21.29.369,experiment 5 word priming,2023.1.3,59.61269634684064,
cushion,,0,4,4,3,,,,,30.50232050009072,30.50232050009072,1.011111111111111,0.6444276000838727,,,,,,,,,,,,,Muskan 2,001,2023-10-04_19h21.29.369,experiment 5 word priming,2023.1.3,59.61269634684064,
chart,,0,5,5,7,,,,,30.968834300059825,30.968834300059825,1.011111111111111,0.6276042000390589,,,,,,,,,,,,,Muskan 2,001,2023-10-04_19h21.29.369,experiment 5 word priming,2023.1.3,59.61269634684064,
cruise,,0,6,6,10,,,,,31.635761600220576,31.635761600220576,1.011111111111111,0.6057512999977916,,,,,,,,,,,,,Muskan 2,001,2023-10-04_19h21.29.369,experiment 5 word priming,2023.1.3,59.61269634684064,
book,,0,7,7,2,,,,,32.28640230000019,32.28640230000019,1.011111111111111,0.46096680010668933,,,,,,,,,,,,,Muskan 2,001,2023-10-04_19h21.29.369,experiment 5 word priming,2023.1.3,59.61269634684064,
laptop,,0,8,8,6,,,,,32.801625500200316,32.801625500200316,1.011111111111111,0.5058383999858052,,,,,,,,,,,,,Muskan 2,001,2023-10-04_19h21.29.369,experiment 5 word priming,2023.1.3,59.61269634684064,
piano,,0,9,9,4,,,,,33.31815530010499,33.31815530010499,1.011111111111111,0.5274189000483602,,,,,,,,,,,,,Muskan 2,001,2023-10-04_19h21.29.369,experiment 5 word priming,2023.1.3,59.61269634684064,
vase,,0,10,10,0,,,,,33.88477320014499,33.88477320014499,1.011111111111111,0.4863553000614047,,,,,,,,,,,,,Muskan 2,001,2023-10-04_19h21.29.369,experiment 5 word priming,2023.1.3,59.61269634684064,
marble,,0,11,11,5,,,,,34.88408570014872,34.88408570014872,1.011111111111111,0.9113034000620246,,,,,,,,,,,,,Muskan 2,001,2023-10-04_19h21.29.369,experiment 5 word priming,2023.1.3,59.61269634684064,
police ,,0,12,12,12,,,,,35.83421240001917,35.83421240001917,1.011111111111111,0.6538815000094473,,,,,,,,,,,,,Muskan 2,001,2023-10-04_19h21.29.369,experiment 5 word priming,2023.1.3,59.61269634684064,
keys,,0,13,13,11,,,,,36.55029060016386,36.55029060016386,1.011111111111111,0.6372778001241386,,,,,,,,,,,,,Muskan 2,001,2023-10-04_19h21.29.369,experiment 5 word priming,2023.1.3,59.61269634684064,
,c_s_io_,,,,,0,0,0,12,,,,,37.216869099996984,37.216869099996984,37.216869099996984,0.016291899839416146,Cushion,"[-0.49722222222222223, 0.027777777777777776]","[-0.29305555555555557, -0.3138888888888889]","[1, 1]","[0, 0]","[0, 0]","[0.39837079984135926, 5.745804199948907]",['text_3'],Muskan 2,001,2023-10-04_19h21.29.369,experiment 5 word priming,2023.1.3,59.61269634684064,
