study_word,test,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,text.started,slider.started,slider.response,slider.rt,text_2.started,textbox.started,text_3.started,mouse.started,textbox.text,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,participant,session,date,expName,psychopyVersion,frameRate,
phone,,0,0,0,13,,,,,38.42730939993635,38.42730939993635,1.8777777777777778,0.8505859000142664,,,,,,,,,,,,,aagya,001,2023-10-04_14h55.50.848,experiment 5 word priming,2023.1.3,59.782475484746094,
keys,,0,1,1,11,,,,,39.285335399908945,39.285335399908945,1.2,2.2347234999760985,,,,,,,,,,,,,aagya,001,2023-10-04_14h55.50.848,experiment 5 word priming,2023.1.3,59.782475484746094,
book,,0,2,2,2,,,,,41.55130679998547,41.55130679998547,1.4,1.345006699906662,,,,,,,,,,,,,aagya,001,2023-10-04_14h55.50.848,experiment 5 word priming,2023.1.3,59.782475484746094,
cake,,0,3,3,9,,,,,42.91769739985466,42.91769739985466,1.1277777777777778,1.5264083000365645,,,,,,,,,,,,,aagya,001,2023-10-04_14h55.50.848,experiment 5 word priming,2023.1.3,59.782475484746094,
t shirt,,0,4,4,8,,,,,44.46724279993214,44.46724279993214,1.0333333333333334,1.4091356999706477,,,,,,,,,,,,,aagya,001,2023-10-04_14h55.50.848,experiment 5 word priming,2023.1.3,59.782475484746094,
marble,,0,5,5,5,,,,,45.89997959998436,45.89997959998436,1.0333333333333334,1.1109000998549163,,,,,,,,,,,,,aagya,001,2023-10-04_14h55.50.848,experiment 5 word priming,2023.1.3,59.782475484746094,
chart,,0,6,6,7,,,,,47.0326809999533,47.0326809999533,1.0333333333333334,1.3270838998723775,,,,,,,,,,,,,aagya,001,2023-10-04_14h55.50.848,experiment 5 word priming,2023.1.3,59.782475484746094,
vase,,0,7,7,0,,,,,48.382304599974304,48.382304599974304,1.0333333333333334,1.409584900131449,,,,,,,,,,,,,aagya,001,2023-10-04_14h55.50.848,experiment 5 word priming,2023.1.3,59.782475484746094,
laptop,,0,8,8,6,,,,,49.815069099888206,49.815069099888206,1.0333333333333334,1.1452351999469101,,,,,,,,,,,,,aagya,001,2023-10-04_14h55.50.848,experiment 5 word priming,2023.1.3,59.782475484746094,
cruise,,0,9,9,10,,,,,50.98141500004567,50.98141500004567,1.0333333333333334,1.4619342000223696,,,,,,,,,,,,,aagya,001,2023-10-04_14h55.50.848,experiment 5 word priming,2023.1.3,59.782475484746094,
police ,,0,10,10,12,,,,,52.464215100044385,52.464215100044385,1.0333333333333334,1.2456333998125046,,,,,,,,,,,,,aagya,001,2023-10-04_14h55.50.848,experiment 5 word priming,2023.1.3,59.782475484746094,
tiger,,0,11,11,1,,,,,53.73048569983803,53.73048569983803,1.0333333333333334,1.1791666999924928,,,,,,,,,,,,,aagya,001,2023-10-04_14h55.50.848,experiment 5 word priming,2023.1.3,59.782475484746094,
cushion,,0,12,12,3,,,,,54.93033490004018,54.93033490004018,1.0333333333333334,1.6567538999952376,,,,,,,,,,,,,aagya,001,2023-10-04_14h55.50.848,experiment 5 word priming,2023.1.3,59.782475484746094,
piano,,0,13,13,4,,,,,56.612735299859196,56.612735299859196,1.0333333333333334,1.2116755000315607,,,,,,,,,,,,,aagya,001,2023-10-04_14h55.50.848,experiment 5 word priming,2023.1.3,59.782475484746094,
,t_g_r,,,,,0,0,0,1,,,,,57.84573099995032,57.84573099995032,57.84573099995032,0.017392699839547276,tiger,[0.019444444444444445],[-0.28888888888888886],[1],[0],[0],[4.562814899953082],['text_3'],aagya,001,2023-10-04_14h55.50.848,experiment 5 word priming,2023.1.3,59.782475484746094,
,c_s_h_o_n,,,,,0,1,1,3,,,,,62.412447300041094,62.412447300041094,62.412447300041094,0.0026177000254392624,cushion,[-0.002777777777777778],[-0.2986111111111111],[1],[0],[0],[5.460387799888849],['text_3'],aagya,001,2023-10-04_14h55.50.848,experiment 5 word priming,2023.1.3,59.782475484746094,
,_a_e,,,,,0,2,2,0,,,,,67.8769830998499,67.8769830998499,67.8769830998499,0.0028813001699745655,vase,[-0.002777777777777778],[-0.2972222222222222],[1],[0],[0],[3.3611938999965787],['text_3'],aagya,001,2023-10-04_14h55.50.848,experiment 5 word priming,2023.1.3,59.782475484746094,
,_oo_,,,,,0,3,3,2,,,,,71.24285899987444,71.24285899987444,71.24285899987444,0.0024885002057999372,book,[-0.02361111111111111],[-0.30416666666666664],[1],[0],[0],[4.065083600115031],['text_3'],aagya,001,2023-10-04_14h55.50.848,experiment 5 word priming,2023.1.3,59.782475484746094,
,_a_bl__,,,,,0,4,4,11,,,,,75.30795729998499,75.30795729998499,75.30795729998499,0.0023566000163555145,marble,[0.001388888888888889],[-0.30416666666666664],[1],[0],[0],[4.391851300140843],['text_3'],aagya,001,2023-10-04_14h55.50.848,experiment 5 word priming,2023.1.3,59.782475484746094,
,_o_s_,,,,,0,5,5,8,,,,,79.70666639995761,79.70666639995761,79.70666639995761,0.0025914001744240522,books,[0.001388888888888889],[-0.30416666666666664],[1],[0],[0],[8.47769850003533],['text_3'],aagya,001,2023-10-04_14h55.50.848,experiment 5 word priming,2023.1.3,59.782475484746094,
,c_s_io_,,,,,0,6,6,12,,,,,88.18687229999341,88.18687229999341,88.18687229999341,0.0024223001673817635,,[],[],[],[],[],[],[],aagya,001,2023-10-04_14h55.50.848,experiment 5 word priming,2023.1.3,59.782475484746094,
,c_m_r_,,,,,0,7,7,6,,,,,98.21632330003195,98.21632330003195,98.21632330003195,0.016406100010499358,cushion,[0.001388888888888889],[-0.30416666666666664],[1],[0],[0],[3.2931340001523495],['text_3'],aagya,001,2023-10-04_14h55.50.848,experiment 5 word priming,2023.1.3,59.782475484746094,
,K_y_,,,,,0,8,8,10,,,,,101.51444029994309,101.51444029994309,101.51444029994309,0.020411500008776784,keys,[-0.008333333333333333],[-0.30694444444444446],[1],[0],[0],[3.827242099912837],['text_3'],aagya,001,2023-10-04_14h55.50.848,experiment 5 word priming,2023.1.3,59.782475484746094,
,_ea_o_,,,,,0,9,9,5,,,,,105.34772239997983,105.34772239997983,105.34772239997983,0.0024842999409884214,,[-0.008333333333333333],[-0.30694444444444446],[1],[0],[0],[9.628310800064355],['text_3'],aagya,001,2023-10-04_14h55.50.848,experiment 5 word priming,2023.1.3,59.782475484746094,
